y (cm),p_min,p_max
130.1,0,0
130.2,0,0
130.3,2.3,0.93
130.4,4.94,6.72
130.5,23.8,28.1
130.6,34.5,36.2
130.7,61.7,67
130.8,94.6,95.2
130.9,122.1,133.2
131,211,219
131.1,279,283
131.2,238,342
131.3,414,440
131.4,486,488
131.5,609,634
131.6,780,791
131.7,896,905
131.8,1013,1019
131.9,1106,1111
132,1316,1322
132.1,1374,1378
132.2,1404,1406
132.3,1425,1422
132.4,1431,1440
132.5,1430,1435
132.6,1379,1383
132.7,1345,1340
132.8,1267,1271
132.9,1172,1192
133,983,994
133.1,792,785
133.2,675,678
133.3,587,591
133.4,463,486
133.5,363,368
133.6,225,230
133.7,178,183
133.8,126,133
133.9,90.4,96.7
134,26.3,28.2
134.1,14.6,16.2
134.2,5.95,7.34
134.3,1.786,0.634
134.4,0,0
